Cargo,Trip Number,Truck,Planned Loading Arrival,Loading Arrival,Planned Offloading Arrival,Offloading Arrival,Loading Difference (hrs),Offloading Difference (hrs),Planning Difference(hrs),Time Created,Created by,Customer
238202,187104,E20,2011-08-27 12:00:00,2011-09-02 11:14:00,2011-08-31 13:00:00,2011-09-09 13:43:00,143,217,50,25 August,Vimal Ganesh,Zambia Sugar
238440,185825,130,2011-08-27 10:00:00,2011-09-01 19:30:00,2011-09-05 08:00:00,2011-09-07 05:00:00,130,45,24,29 August,Jaap Saayman,Access Freight International - Overborder
238862,F10745,E02,2011-08-30 12:00:00,2011-09-01 17:45:00,2011-08-31 09:00:00,2011-09-02 20:45:00,54,60,20,29 August,Cameron Singh,Engen
238870,190120,205,2011-08-30 07:00:00,2011-09-01 16:30:00,2011-09-06 10:00:00,2011-09-13 18:25:00,58,176,13,29 August,Jaap Saayman,Access Freight International - Overborder
238871,186275,210,2011-08-29 07:00:00,2011-09-01 12:15:00,2011-09-06 10:00:00,2011-09-13 18:45:00,77,177,9,29 August,Jaap Saayman,Access Freight International - Overborder
238946,A16469,160,2011-08-31 20:00:00,2011-09-01 09:30:00,2011-09-03 14:00:00,2011-09-01 15:30:00,14,-45,33,30 August,Kenny Hiscock,Arcelor Mittal
238957,A16483,159,2011-08-31 06:00:00,2011-09-01 05:00:00,2011-08-31 18:00:00,2011-09-01 11:20:00,23,17,19,30 August,Kenny Hiscock,EnviroServ Waste MGT PTY
238969,A16470,160,2011-08-30 20:00:00,2011-09-01 22:10:00,2011-08-31 12:00:00,2011-09-02 16:05:00,50,52,10,30 August,Kenny Hiscock,Arcelor Mittal
238972,A16754,167,2011-08-31 18:00:00,2011-09-05 16:30:00,2011-09-01 10:00:00,2011-09-06 07:45:00,119,118,30,30 August,Kenny Hiscock,Arcelor Mittal
238418,195872,203,2011-08-27 15:00:00,2011-09-01 19:30:00,2011-09-05 13:00:00,2011-09-06 09:37:00,125,21,28,30 August,Jaap Saayman,Access Freight International - Overborder
238992,180288,E17,2011-08-31 18:00:00,2011-09-01 19:20:00,2011-09-06 11:00:00,2011-09-14 15:30:00,25,197,30,30 August,Vimal Ganesh,Zambia Sugar
239005,A16475,164,2011-08-31 18:00:00,2011-09-02 15:15:00,2011-09-01 10:00:00,2011-09-03 10:20:00,45,48,29,30 August,Kenny Hiscock,Arcelor Mittal
239010,198212,113,2011-08-31 15:00:00,2011-09-02 06:15:00,2011-09-08 12:00:00,2011-09-11 18:50:00,39,79,25,30 August,Zac Bolton,Tradewind Logistics
239027,195936,119,2011-08-31 12:00:00,2011-09-01 07:00:00,2011-09-07 12:00:00,2011-09-07 13:51:00,19,2,19,30 August,Zac Bolton,Access Freight International - Overborder
239038,176918,199,2011-08-31 14:00:00,2011-09-01 12:55:00,2011-09-07 12:00:00,2011-09-10 10:13:00,23,70,22,30 August,Zac Bolton,Tradewind Logistics
239092,195403,104,2011-08-31 10:00:00,2011-09-01 07:00:00,2011-09-07 16:00:00,2011-09-07 10:06:00,21,-4,1,31 August,Jacques Redgard,Access Freight International - Overborder
238459,191698,251,2011-08-26 20:00:00,2011-09-01 21:00:00,2011-09-02 15:00:00,2011-09-06 22:25:00,145,103,7,31 August,Jacques Redgard,Access Freight International - Overborder
239107,F11862,E50,2011-08-31 17:00:00,2011-09-01 05:22:00,2011-09-01 10:00:00,2011-09-02 15:04:00,12,29,5,31 August,Cameron Singh,Total SA
239109,F10643,E52,2011-08-31 16:00:00,2011-09-01 06:10:00,2011-09-01 10:00:00,2011-09-02 10:00:00,14,24,4,31 August,Cameron Singh,Total SA
238467,185935,220,2011-08-29 14:00:00,2011-09-01 09:00:00,2011-08-31 08:00:00,2011-09-02 09:20:00,67,49,72,31 August,Devon Bezuidenhout,Kempston Logistics East London
238942,197935,21,2011-08-31 16:00:00,2011-09-01 06:50:00,2011-09-01 07:00:00,2011-09-01 12:42:00,15,6,31,31 August,Shaun du Preez,Pannar Seeds
239020,194160,89,2011-08-31 15:00:00,2011-09-01 06:15:00,2011-09-01 12:00:00,2011-09-02 05:57:00,15,18,24,31 August,Mario Dorlly,Spar Group - Build It
238993,184399,DM3,2011-09-01 13:00:00,2011-09-01 15:17:00,2011-09-03 08:00:00,2011-09-05 04:54:00,2,45,49,31 August,Mario Dorlly,Sasko
239158,F11883,E48,2011-09-01 09:00:00,2011-09-01 12:30:00,2011-09-02 08:00:00,2011-09-02 10:30:00,4,3,16,31 August,Cameron Singh,Engen
239163,F10680,E44,2011-08-31 20:00:00,2011-09-01 08:00:00,2011-09-01 12:00:00,2011-09-02 11:00:00,12,23,3,31 August,Cameron Singh,Engen
239164,194772,24,2011-08-31 18:00:00,2011-09-01 05:00:00,2011-09-01 08:00:00,2011-09-01 12:00:00,11,4,2,31 August,Shaun du Preez,Premier Trunking - Isando
239168,192937,169,2011-08-31 18:00:00,2011-09-01 06:10:00,2011-09-01 08:00:00,2011-09-01 11:50:00,12,4,2,31 August,Devon Bezuidenhout,Premier Trunking - Isando
239171,192785,25,2011-09-01 08:00:00,2011-09-01 06:45:00,2011-09-08 10:00:00,2011-09-07 13:30:00,-1,-19,14,31 August,Jaap Saayman,Omnia Fertiliser
239052,195251,211,2011-08-31 19:00:00,2011-09-01 06:00:00,2011-09-02 08:00:00,2011-09-02 05:30:00,11,-1,26,31 August,Mario Dorlly,Sasko
239175,198096,260,2011-09-01 08:00:00,2011-09-01 13:30:00,2011-09-08 11:00:00,2011-09-09 10:50:00,6,24,15,31 August,Zac Bolton,Zambia Sugar
238835,194873,88,2011-09-01 08:00:00,2011-09-01 09:15:00,2011-09-02 08:00:00,2011-09-02 07:36:00,1,0,63,31 August,Mario Dorlly,Rohm & Haas
239108,198054,6,2011-09-01 08:00:00,2011-09-01 07:16:00,2011-09-02 15:00:00,2011-09-02 09:56:00,1,-5,20,31 August,Mario Dorlly,Chep
239173,197868,30,2011-09-01 08:00:00,2011-09-01 08:40:00,2011-09-02 15:00:00,2011-09-02 20:12:00,1,5,15,31 August,Mario Dorlly,LA Logistix
239156,198156,148,2011-09-01 09:00:00,2011-09-01 06:40:00,2011-09-02 09:00:00,2011-09-02 13:30:00,-2,5,16,31 August,Mario Dorlly,Plaaskem (Pty) Ltd
239157,196826,243,2011-09-01 08:00:00,2011-09-01 06:10:00,2011-09-02 08:00:00,2011-09-02 10:50:00,0,3,15,31 August,Mario Dorlly,Plaaskem (Pty) Ltd
239146,191913,DM7,2011-09-01 08:00:00,2011-09-01 05:27:00,2011-09-02 10:00:00,2011-09-02 08:07:00,-1,0,17,31 August,